"","Space_Flight_1","Space_Flight_2","Space_Flight_3","Ground_Control_1","Ground_Control_2","Ground_Control_3"
"USF1",5.15406066234462,5.34014029052441,5.2060534813569,5.50811628559547,5.74623389293891,6.01541896924932
"SPATA2L",4.68969415634699,4.8711663215939,5.16150710871318,4.87521655720527,4.84992197251755,5.022846827587
"NIT1",4.67263206466541,4.4895361966773,4.62357175833539,4.34874610867345,4.59811825232747,4.47166869820557
"DEDD",3.05913082803025,2.67980511237514,2.25701830379803,3.70054499176028,3.60954929007673,3.15177122449288
"ZNF276",4.92219978124649,4.65300873004823,5.22525564057106,4.24584239487745,4.29828964891734,4.77339147781472
"EDA",0.171906192999157,-0.35240862044068,0.0343690132200127,-0.579804414593293,0.11330433284914,-0.29375709037338
"VWA5B1",-1.23010083216909,-0.605950835092077,-1.32319126663268,-1.51224298738205,-0.763819157335847,-1.20678908231098
"CDA",1.20776095110767,1.67350625569534,1.67532257223352,-0.702914018142904,-0.20324552870123,-0.344662401889139
"PINK1",6.21190031899453,5.8941310286283,5.9844015224131,6.41641793605589,6.36306298533322,6.42492380738907
"B4GALT3",5.53623105255873,5.63199630736342,5.66896775106375,5.64089337197848,5.30306314691688,4.92613382268712
"DMTN",1.826917048463,1.78387066375589,1.84386044864065,1.36343865364677,1.01932768205035,1.14183055161573
"ADAMTS4",5.01653030505989,4.99771028419525,4.91426893766663,3.38621605897971,3.18694557658934,3.44981792675869
"FHIP2B",6.40861213680813,6.75695975064363,7.25276318626025,5.95232736037926,6.14307532610439,6.23070351312419
"NDUFS2",5.09674320090894,5.21359705304618,5.00790635307311,5.48832455433656,5.81635804806309,6.22250124557673
"FCER1G",-0.00684484179758853,0.770915319809435,-4.09875182374296,-1.59195689990816,0.129763221453381,-0.502157020478719
"TOMM40L",0.629757238996633,0.731329824527756,1.38379898468397,-4.09875182374296,1.41305586467053,-0.976197417663527
"MPZ",-0.393970923043807,-1.77760603662315,-0.661925938853233,-1.27619190914717,-1.88966633889782,-1.75780305714712
"CCAR2",7.09759739371505,7.23052225894145,7.08992287017437,7.02060790198552,7.2291370971501,7.3849104161534
"CACHD1",0.588696619448341,-0.364440543853302,0.418931623786463,4.21324474519291,4.08259125013868,3.83638680531021
"CDC42SE2",5.3835295174192,4.87236940681636,4.82633318141566,5.59351325096105,5.23774391132268,5.07935360455074
"RAPGEF6",3.14234425343494,2.97696178477291,2.49103841759462,2.68626514948586,1.85399166349964,2.23844079607458
"EPB41",3.71861806530512,4.23086811717318,3.66020005072654,1.36621859591755,1.72753414162767,-4.09875182374296
"MIS18A",4.82352533016898,4.65071053600253,4.40668019832005,3.62623296160711,3.36615436626283,3.55830049733881
"ALG8",1.59188840282633,1.66572101950981,1.68928340389653,2.84779199330754,2.32561638792953,2.56409590199001
"FBXW5",6.67215824054296,7.09266480810175,7.35146361800476,6.59768082625236,6.64924239030963,6.84414474428708
"CFAP298",4.12871885166029,4.47216239263361,4.76966574738457,4.32271863039286,4.58586484078413,4.32655558491617
"SYNJ1",4.91905399691434,4.98952288809212,4.16745901347957,3.99676685383413,3.71586260498567,3.53075640101669
"PAXBP1",5.7699260997197,5.27146732008768,4.69041416727677,2.73647710468276,2.55630367720015,3.20579840966967
"IFNAR2",4.74934077559242,4.61300046961833,4.83606032963744,4.05729405615311,3.81345422312188,3.93998051238317
"MRPL10",4.95288992562229,5.48728672214446,5.17029053160163,4.49094036105611,4.32038551901228,3.99619015020754
"IFNGR2",5.12476367486034,5.05090437469163,5.58662936993317,4.73748071340081,4.09152566221059,4.06822386384397
"GART",4.82579478069455,4.93594846731854,4.83459177815224,4.28669984405631,3.76241595204999,3.89770942926064
"SON",7.86149798068162,8.22322816868738,7.8707833743374,8.37331309009084,8.75481768699838,8.82155162566262
"DONSON",5.67758199001944,6.07516282239611,5.58594175280194,3.17823096639738,3.11860462804427,2.83343316180733
"SV2A",0.156610540348087,-0.351760922461991,0.0672795160874264,0.10127074091736,0.866109637258984,0.791987879705653
"STC1",10.3884522990863,10.4905180597358,10.614543517993,10.0598047415315,9.94792591438132,10.0688243563172
"CSRP1",8.30077897191866,8.12981480553613,8.73290799679663,8.96701685547008,8.59999160777235,8.32202136357721
"ATP5MC1",5.79678489779993,5.48452660129565,5.93045658600849,6.66451406237825,6.9913482579675,7.11539935888039
"RCAN1",5.51682502128921,5.0796513058468,5.4621300281317,8.01760514896785,7.85929939405,7.78872795558014
"UBE2Z",6.81990333916677,6.85732435906895,6.8005414082397,7.26153793470964,6.86960267498923,6.80298855274569
"CIART",2.92847569413971,2.54949276034964,2.34554087546824,2.78835034292667,2.91740802628648,3.18049669914965
"SNF8",4.06131382346684,4.48209618170026,4.37507944151017,4.78851650455786,4.93172601038737,5.01282287051782
"CLIC6",-2.77339210602981,-3.00822005771503,-3.51699959895804,0.103938795130688,-0.918644127732129,0.238153069420702
"CCDC24",3.23816124776471,2.13326195846312,3.05567824861497,2.47230604370889,3.38496657019996,3.25352349986742
"RUNX1",6.17688923987016,6.90465031333923,6.09491041288012,6.0377290209804,6.07870966207739,6.06603427270823
"IGF2BP1",4.23299164812579,4.13967371589409,4.23119788681468,2.35800366703483,2.48168089585617,2.26755847015606
"CBR1",6.60273870797355,6.53243702141024,6.59993287883401,6.64976688613529,6.54221605972344,6.66696360005471
"CBR3",4.1090602108867,4.39753914519055,4.51163803040978,3.89906540444212,3.98725517067309,4.10522471345226
"NA.42",3.18819887331365,3.37446083866308,3.41145793415588,3.46244238084844,2.89102877791014,3.27534801859879
"MORC3",6.28516130889882,6.33860181285606,6.00985998366071,5.31019588017951,4.96690829203894,4.88704415463678
"CHAF1B",2.75230068086503,3.14910674942087,2.83850074245399,1.2504706379579,0.655928055133407,0.722025979859276
"CLDN14",5.76155120322896,6.0533282573322,5.98231652945607,3.11132996424135,3.30252562537386,3.45931182284183
"SIM2",2.82612361649495,2.88340578599656,3.27575054898116,0.875362836344301,0.856219081452201,-0.0756019352815579
"HLCS",4.81420366456398,4.51689801305665,4.84063672532397,4.81244817450344,4.56399831597706,4.52131877983432
"SCUBE1",0.494782744307126,-0.880946199621242,-0.0722261771179423,-0.906066325210439,-1.27700124661237,-1.0916877435997
"ARHGAP27",0.832492010171341,0.424825837506886,0.341594369320893,-0.312506027888922,-0.613959737581184,-0.594236904768328
"ADPGK",5.30726252263971,5.10732625981602,5.25210458710082,5.62018183167897,5.99397582075462,6.26657133408687
"PTMS",7.92024773064719,7.88946222290239,7.88613672246411,7.74089654567428,8.27666164359305,8.31174848458457
"ADIPOR1",6.85851256019206,6.81100871579296,6.47250788982735,6.80562271450051,6.50462379975618,5.50314579854668
"CYB5R1",4.94902750734355,5.16784246866263,5.68589405015348,5.82996272112191,5.92177840406024,5.66191656473327
"PSMD4",6.93160824117333,7.25039589547118,7.49695272363019,6.97010879805886,7.14530005595774,7.16168516413953
"ATP13A2",6.24485549916285,6.1099932833763,6.61405304001291,6.3186410733813,6.51564064265673,6.56731937169402
"M1AP",-1.53275386097369,-0.582857473738168,0.0601182949868548,-0.668928053757386,-0.1836104419424,0.193763932698312
"PSMB4",8.1282695134576,8.22118993303444,8.39166740985918,8.49774478721476,8.63142658559142,8.70522474912572
"BTG2",1.82960603932691,1.67779142856129,1.62662662235938,5.0705266264378,5.3026657168387,5.29520551329914
"HK2",7.73794321020002,8.18166572533287,7.64985104965482,8.04141134973067,7.91620369600621,8.04808794690121
"C1R",1.33514122553682,0.780043926891868,1.75816203486872,0.0343788334170082,0.769557838021706,0.873314897236131
"ALDH4A1",-1.5552173109714,-0.01102346680738,2.00343213591462,2.07830835674895,2.84300203521286,2.88665861392458
"STARD9",4.21596874242972,4.81564529211789,4.38456551318962,3.58222176188828,3.75805460528649,3.860071685992
"THEM4",3.34301527697123,3.09071367930807,3.62271112376179,3.37262238754213,3.70504617089813,3.77416509133431
"TCHH",-3.48065469943316,-4.09875182374296,-3.04886292000962,1.0609297190836,0.799824754631755,0.474148962929855
"UBR1",4.43818364780783,4.40633584465866,3.43676659398009,5.45070250304034,4.45821653530174,4.2385249197839
"AMFR",7.3888190993467,7.12856118999861,7.12508904531451,6.93670384154842,6.66960700244263,6.66477042545667
"MED8",6.14118100180573,6.01944697216131,6.46471413815757,6.07609702193189,5.75199493070014,5.78133573368994
"ISL2",-1.3719954990019,-1.09894454647489,-1.00473786258975,-0.964343163198454,-0.2124965997535,-0.944974123683646
"RSPRY1",5.83822413074706,5.79362097326827,6.15767356550375,5.92829371301718,5.61010988613218,5.45050756957283
"CCDC17",2.11865278664734,2.10346476897452,2.01557405648583,-0.9929136165015,-0.797335196184247,-0.567673898100772
"GPBP1L1",5.27726018854571,4.71308293125425,4.81928520661427,4.68758429239516,4.0069945708113,3.52381775193988
"NAE1",5.55402156730125,4.98370146580988,5.27907036763603,4.89374473655932,4.29384753082412,4.16570796741487
"TMEM69",4.64454465022956,4.66467122891231,4.41085264870152,4.31945397619378,4.4652821433498,3.76701835650657
"ACE",-0.0583150886581147,0.0411222821366895,0.266367734628323,0.800270577708876,1.03969094011769,1.21554022025478
"SPMIP8",-0.139011111301532,0.0266388218302965,0.00488760784603897,-2.28376049621095,-3.04572419336379,-2.45537631474155
"EFCAB14",5.19530330812103,4.40570772288089,4.68833539991507,5.53346229195646,5.55092611898822,5.08519627453435
"SPON2",-1.43212531791252,-2.72837402762413,-0.528281170532893,-0.808101530221517,1.3254414624416,1.45306139695371
"CHCHD6",4.38682113693662,4.41513851497498,4.8488535839557,4.28316624422389,4.22584615039009,4.36534567662546
"CTBP1",5.95511254449847,5.98256660044064,6.37502436571424,5.39939842025604,5.24754303527333,5.41589014574731
"LRRC36",1.38904105065486,1.8781290413127,1.55122496495742,-0.486338784668612,-0.152682895356878,-0.446683898124775
"TPPP3",1.94803999683272,0.44982203101076,1.8795753595667,3.00972288126034,0.767217835692179,2.43059871898107
"ZDHHC1",3.2348207719047,3.18190115728921,4.06075755160861,2.28633045536767,2.82951046572214,3.16475108035519
"ATP6V0D1",5.13564948574899,5.21560665970517,5.48746240892189,6.555596204049,6.66578257498327,6.76659552340812
"ZFYVE28",3.9096152739987,4.33247191882991,5.04955381606648,3.34711046923688,3.41343663931587,3.26460011488567
"CARMIL2",3.64905120782891,3.45276164889882,3.74926612807986,3.35086896053093,3.44840458688766,3.56365714897983
"C16orf86",1.82916389170214,1.95800112871192,2.56480640961122,2.5011292024948,2.56485968659556,2.83190189058029
"FAM131B",0.0546851225684537,-0.606941961787536,-2.03436660908972,0.545100946156934,-0.115971492616824,-0.502973914244805
"RGS12",5.08100761948451,5.10620729378884,5.57322850622223,5.14433976231109,5.1798016738327,5.21307992804379
"PSKH1",4.23042378889446,4.30372133063406,4.77952828525628,5.68067078994955,5.63482274029355,5.41620154025486
"ZYX",8.18589725904797,8.27709383663755,8.34854848270385,8.31088671070284,8.67597988881988,8.72453949897595
"ABR",5.97725905693346,6.25645726423734,6.45733547589547,5.87281504950213,6.260673298085,6.45948176128784
"LYPD5",0.892016921715071,0.517995210933989,0.628065539464917,2.52850950306806,2.08740927025124,1.96737226331924
"CCDC117",6.11078454535924,5.8528916622785,5.56733638755696,4.95605713022089,4.75902313723676,4.47992603204572
"ZNF230",2.15346257204643,2.58329921583343,1.92793840068375,1.5317800168416,1.8603115918367,1.74432144961309
"CCDC107",6.13058787426327,6.41646303712891,6.68514422633859,6.09184183386314,6.21137863385679,6.37511821017693
