"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","logCPM","F","PValue","FDR"
"ENSG00000136235","10457","GPNMB","glycoprotein nmb",-3.27336493011701,4.10995289837081,203.04135558303,9.32633500523912e-07,0.000199281678882966
"ENSG00000196937","10447","FAM3C","FAM3 metabolism regulating signaling molecule C",5.57976946208316,4.53619240660871,203.305021631775,9.32946346430868e-07,0.000199281678882966
"ENSG00000165323","120114","FAT3","FAT atypical cadherin 3",-4.6035803737289,3.41712221861994,202.883330808962,9.44238746960027e-07,0.000199375468754663
"ENSG00000159450","7062","TCHH","trichohyalin",-5.56133703153773,-0.114409289430998,92.5355363953389,9.71252077218679e-07,0.000202748871119399
"ENSG00000277639","105371267","CHD9NB","CHD9 neighbor",-4.1945950096342,3.56263685672704,199.2994365963,1.0024898538374e-06,0.000206749227284136
"ENSG00000130513","9518","GDF15","growth differentiation factor 15",-4.03915415098123,7.75589392002171,198.488338345358,1.01292490231749e-06,0.000206749227284136
"ENSG00000168497","8436","CAVIN2","caveolae associated protein 2",-7.0691907992744,1.36041543603983,91.2172620048941,1.06842099782303e-06,0.00021568015087922
"ENSG00000091986","151887","CCDC80","coiled-coil domain containing 80",-1.94696529341766,7.87401581328357,191.007044811075,1.1664649989847e-06,0.000232912630775532
"ENSG00000153714","286343","LURAP1L","leucine rich adaptor protein 1 like",-3.21429316849057,4.87836411836493,189.957592488248,1.19072773214045e-06,0.000235200735907742
"ENSG00000198911","6721","SREBF2","sterol regulatory element binding transcription factor 2",3.02033413654952,4.17755725933652,188.299752424484,1.22980799255892e-06,0.000238948899183741
"ENSG00000177700","5441","POLR2L","RNA polymerase II, I and III subunit L",-2.98054762594176,7.11708259169432,188.029173499255,1.23571831368837e-06,0.000238948899183741
"ENSG00000169122","90362","FAM110B","family with sequence similarity 110 member B",-7.37492501778004,2.45227990865107,115.767602362212,1.27062896772408e-06,0.00024188844415101
"ENSG00000164308","64167","ERAP2","endoplasmic reticulum aminopeptidase 2",-1.99321282122065,6.87003950044663,186.248034284004,1.27962628773715e-06,0.00024188844415101
"ENSG00000113555","51294","PCDH12","protocadherin 12",-4.73666681027067,1.47704960022612,186.082939850988,1.29042283760473e-06,0.00024188844415101
"ENSG00000004478","2288","FKBP4","FKBP prolyl isomerase 4",3.06467753304711,3.75411528523386,184.830519385235,1.31702875641828e-06,0.000242611594558215
"ENSG00000163735","6374","CXCL5","C-X-C motif chemokine ligand 5",-4.75159689732036,9.09018973711109,184.223646057617,1.33195575359769e-06,0.000242611594558215
"ENSG00000164707","26266","SLC13A4","solute carrier family 13 member 4",5.41390708849332,2.47198860221729,187.827268019207,1.34674155540819e-06,0.000242611594558215
"ENSG00000106236","4885","NPTX2","neuronal pentraxin 2",-6.69969461641523,1.05923291141669,87.5886101920459,1.37060599323377e-06,0.000242611594558215
"ENSG00000174343","55584","CHRNA9","cholinergic receptor nicotinic alpha 9 subunit",-5.5366798182049,1.0732444079673,135.546278043884,1.37229803188659e-06,0.000242611594558215
"ENSG00000148908","6001","RGS10","regulator of G protein signaling 10",2.14783510869314,6.58342437508937,182.685885322137,1.37352236440144e-06,0.000242611594558215
"ENSG00000197106","388662","SLC6A17","solute carrier family 6 member 17",-4.72068109017926,1.88423468714588,185.323178898233,1.41720740532947e-06,0.000247943809865736
"ENSG00000184226","5101","PCDH9","protocadherin 9",-2.98600817532703,3.5436366793467,179.106594193299,1.47852926668597e-06,0.00025032449846052
"ENSG00000102935","23090","ZNF423","zinc finger protein 423",-5.0031152753119,0.605744854420848,134.759712417083,1.47913380419168e-06,0.00025032449846052
"ENSG00000105048","7138","TNNT1","troponin T1, slow skeletal type",3.84717083825041,5.18034027779149,178.444303415093,1.49761488861911e-06,0.00025032449846052
"ENSG00000127838","25953","PNKD","PNKD metallo-beta-lactamase domain containing",-2.32312718380801,5.69548292295727,178.263781781832,1.50255677342574e-06,0.00025032449846052
"ENSG00000273213","440686","H3-7","H3.7 histone (putative)",-3.64952043771542,3.23495787041103,178.020076764344,1.5154350059957e-06,0.00025032449846052
"ENSG00000224501","3304","HSPA1B","heat shock protein family A (Hsp70) member 1B",4.22225667792361,4.90583820858776,177.651222205886,1.52271084715047e-06,0.00025032449846052
"ENSG00000139289","22822","PHLDA1","pleckstrin homology like domain family A member 1",-1.90046459647029,10.6237910135055,177.243304474936,1.53446132471569e-06,0.00025032449846052
"ENSG00000139410","113675","SDSL","serine dehydratase like",-3.84679615737929,4.10097696522262,176.723630132438,1.55342651545417e-06,0.00025032449846052
"ENSG00000272674","57717","PCDHB16","protocadherin beta 16",-4.91114035091418,1.51193356055504,174.299211780184,1.55345633230807e-06,0.00025032449846052
"ENSG00000176435","161198","CLEC14A","C-type lectin domain containing 14A",-5.81421432642829,1.75413307408084,151.975237047725,1.58345379818108e-06,0.000252939532805099
"ENSG00000127528","10365","KLF2","KLF transcription factor 2",-2.10403723092686,5.82635218288983,175.256921018046,1.59910681400187e-06,0.000253001019358487
"ENSG00000166532","57494","RIMKLB","ribosomal modification protein rimK like family member B",2.15994533980095,5.94999020457989,174.609160870564,1.62092126406946e-06,0.000253001019358487
"ENSG00000185100","122622","ADSS1","adenylosuccinate synthase 1",3.50170063982366,5.5322108093631,174.287616738845,1.63217000671906e-06,0.000253001019358487
"ENSG00000251493","2297","FOXD1","forkhead box D1",-2.06686727500355,7.0145848715131,174.009694952979,1.64144218751469e-06,0.000253001019358487
"ENSG00000214814","654463","FER1L6","fer-1 like family member 6",-5.56110573106311,1.26442287524624,138.410433803377,1.65270126962539e-06,0.000253001019358487
"ENSG00000103381","55313","CPPED1","calcineurin like phosphoesterase domain containing 1",-2.21003452077112,4.35030192536423,172.922218212565,1.67998276553582e-06,0.000255051928949529
"ENSG00000006210","6376","CX3CL1","C-X3-C motif chemokine ligand 1",-4.34639724154315,2.19414247607391,174.332128816434,1.72184769355848e-06,0.000259265099431715
"ENSG00000178573","4094","MAF","MAF bZIP transcription factor",-6.92943540782316,1.4514809188403,86.4678025302431,1.76560043205389e-06,0.000260319661399108
"ENSG00000130208","341","APOC1","apolipoprotein C1",5.6324309591243,0.407961053731908,100.173406175998,1.77105888911081e-06,0.000260319661399108
"ENSG00000145494","4726","NDUFS6","NADH:ubiquinone oxidoreductase subunit S6",-2.52927298541878,6.77746603514597,169.841514123485,1.79364650806583e-06,0.000260319661399108
"ENSG00000159147","29980","DONSON","DNA replication fork stabilization factor DONSON",2.75371981969786,4.99566659018362,169.733082276144,1.79813374276954e-06,0.000260319661399108
"ENSG00000179542","139065","SLITRK4","SLIT and NTRK like family member 4",-2.90713811594138,5.88485651251225,169.149890097357,1.82085993847073e-06,0.000260319661399108
"ENSG00000104723","7991","TUSC3","tumor suppressor candidate 3",-2.21686468411047,6.01614418488153,168.607171245582,1.84211675043555e-06,0.000260319661399108
