"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006310","DNA recombination","74/1913","287/12494",0.257839721254355,1.68397777174695,4.98432051744082,2.35836930593186e-06,0.000522635145753681,0.000522635145753681,"79173/10635/4171/116138/7515/4361/254528/51444/328/121260/9401/115004/2177/2956/55086/3148/1111/5888/57820/23028/56941/4174/7153/79703/9319/55732/3978/51111/3980/4841/54617/29893/11073/56893/6502/146956/27434/55693/5347/55345/3146/23514/6421/6117/8089/23137/641/10388/4175/3149/8318/10051/4436/6119/11077/5893/84296/78995/4439/4172/84515/4176/286053/23397/9730/51659/57634/8940/580/54780/84787/55183/8438/57697",74
"GO:0000819","sister chromatid segregation","59/1913","217/12494",0.271889400921659,1.77573767648469,4.90146743810899,4.18954971839774e-06,0.000889755621444721,0.000889755621444721,"64105/2801/55125/22974/6795/225689/55274/26151/84142/23122/3192/3303/7153/983/9319/3304/11004/27175/8881/54617/7756/9212/9735/24137/27183/55143/81620/5347/83540/9055/991/54892/23310/147841/11065/1058/10051/9639/8899/3796/57082/126731/4085/6603/286053/23397/1060/11044/9700/51203/440145/10403/10735/5501/3833/152185/9787/27436/332",59
"GO:0044786","cell cycle DNA replication","17/1913","36/12494",0.472222222222222,3.08413196259511,5.32451186300311,6.04191934387436e-06,0.00123182651582911,0.00123182651582911,"4171/5888/9837/3978/54617/29980/51053/81620/641/4175/7083/10926/8318/4172/144455/5422/79915",17
"GO:0033260","nuclear DNA replication","16/1913","33/12494",0.484848484848485,3.16659538405487,5.29890133756806,7.40467768001097e-06,0.00145160162057754,0.00145160162057754,"4171/5888/9837/3978/54617/29980/51053/81620/641/4175/7083/10926/8318/4172/5422/79915",16
"GO:0045132","meiotic chromosome segregation","19/1913","44/12494",0.431818181818182,2.82024901392387,5.14280390254113,8.8878770137281e-06,0.00167783367181378,0.00167783367181378,"2801/254528/225689/2177/57820/23353/9319/283847/29893/10734/83540/10388/10051/57082/4439/23397/1060/9700/10403",19
"GO:0000075","cell cycle checkpoint signaling","49/1913","174/12494",0.281609195402299,1.83921865517842,4.73992966560646,9.52682850836581e-06,0.00168346216211597,0.00168346216211597,"4361/1869/54888/84936/2177/84142/5984/1111/5888/983/9319/23376/79968/9656/5983/60561/29997/7756/29980/11073/9212/9735/27183/146956/55143/81620/5347/5985/63967/51514/83540/641/991/10926/147841/8318/8899/57082/4085/80254/1407/1017/26272/4582/580/10403/51720/84126/332",49
"GO:0036196","zymosterol metabolic process","10/1913","15/12494",0.666666666666667,4.35406865307545,5.52656373317324,9.90854715783383e-06,0.00168346216211597,0.00168346216211597,"51478/6307/4597/3157/3422/4598/6713/2224/3156/2222",10
"GO:0036197","zymosterol biosynthetic process","10/1913","15/12494",0.666666666666667,4.35406865307545,5.52656373317324,9.90854715783383e-06,0.00168346216211597,0.00168346216211597,"51478/6307/4597/3157/3422/4598/6713/2224/3156/2222",10
"GO:0140013","meiotic nuclear division","34/1913","107/12494",0.317757009345794,2.07530375053129,4.7497142043874,1.40688154325965e-05,0.0023131855567724,0.0023131855567724,"79173/10635/116138/4361/2801/254528/225689/2177/150365/22887/5888/57820/23353/7153/79703/9319/283847/29893/3306/146956/10734/83540/10388/10051/57082/11077/4439/23397/1060/5000/9700/10403/8438/57697",34
"GO:0007127","meiosis I","26/1913","73/12494",0.356164383561644,2.32614626671154,4.83172350663828,1.51647839697605e-05,0.00241546574668342,0.00241546574668342,"79173/10635/116138/4361/254528/2177/150365/22887/5888/57820/23353/7153/79703/9319/283847/29893/146956/10734/10388/57082/11077/4439/1060/10403/8438/57697",26
"GO:1905820","positive regulation of chromosome separation","14/1913","28/12494",0.5,3.26555148980659,5.10289801991844,1.77573352991299e-05,0.00274270115211106,0.00274270115211106,"225689/8881/9212/55143/5347/991/54892/11065/10051/286053/23397/9700/9787/332",14
"GO:0090307","mitotic spindle assembly","24/1913","66/12494",0.363636363636364,2.37494653804115,4.76194807121624,2.14743749470694e-05,0.00312979905759458,0.00312979905759458,"2801/55125/22974/6795/26151/84142/23122/3192/3303/3304/7756/9212/24137/55143/5347/9055/9639/3796/126731/440145/10735/3833/152185/332",24
"GO:0035825","homologous recombination","21/1913","54/12494",0.388888888888889,2.53987338096068,4.82168904768695,2.14916552905259e-05,0.00312979905759458,0.00312979905759458,"79173/10635/116138/4361/254528/2177/5888/57820/7153/79703/9319/55732/29893/11073/146956/10388/11077/4439/580/8438/57697",21
"GO:0007276","gamete generation","104/1913","464/12494",0.224137931034483,1.46386790922364,4.32960227493091,2.41384185861664e-05,0.00341759776482473,0.00341759776482473,"79173/6122/23521/64847/1869/254528/54888/6046/7784/10420/26140/89876/58494/6130/5104/989/6137/84688/22887/2956/6164/56262/55811/114112/100125288/54466/147700/23353/6875/79882/7153/55124/388799/54665/9319/23157/9702/5997/84056/5139/145508/54558/6125/137392/5987/27067/10983/284067/3952/4736/8204/3306/79893/1654/23345/55723/55818/64395/84660/143689/11196/283/4957/4204/6175/144132/26003/6157/1459/23609/6160/30812/200232/79816/6158/57082/8239/6045/8450/11077/57639/144195/78995/10657/8287/84515/23397/6676/8087/5000/79846/54760/402573/9271/6136/139886/10403/9045/3833/163786/116832/401024/6156/6124",104
"GO:0006695","cholesterol biosynthetic process","20/1913","51/12494",0.392156862745098,2.56121685475026,4.7502149979418,2.91096112823127e-05,0.00390451812384074,0.00390451812384074,"51478/1595/51141/6307/4597/1717/6721/5563/10682/3157/6309/3422/4598/6713/2224/3156/10299/2222/1718/23541",20
"GO:1902653","secondary alcohol biosynthetic process","20/1913","51/12494",0.392156862745098,2.56121685475026,4.7502149979418,2.91096112823127e-05,0.00390451812384074,0.00390451812384074,"51478/1595/51141/6307/4597/1717/6721/5563/10682/3157/6309/3422/4598/6713/2224/3156/10299/2222/1718/23541",20
"GO:0045338","farnesyl diphosphate metabolic process","8/1913","11/12494",0.727272727272727,4.74989307608231,5.29033580249862,3.1820440316045e-05,0.00415868677668927,0.00415868677668927,"4597/3157/39/3422/4598/2224/3156/2222",8
"GO:0007131","reciprocal meiotic recombination","18/1913","44/12494",0.409090909090909,2.6718148552963,4.72342844104056,3.71410696717164e-05,0.00461726907601802,0.00461726907601802,"79173/10635/116138/4361/254528/2177/5888/57820/7153/79703/9319/29893/146956/10388/11077/4439/8438/57697",18
