"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","logCPM","F","PValue","FDR"
"ENSG00000162745","25903","OLFML2B","olfactomedin like 2B",-2.45970593100906,1.56450404947284,14.6854838079687,0.00551589017476675,0.0177299916903701
"ENSG00000122966","11113","CIT","citron rho-interacting serine/threonine kinase",1.71904921753998,0.967932445902624,14.6773392514625,0.00552232170264781,0.0177475594257593
"ENSG00000181751","90355","MACIR","macrophage immunometabolism regulator",1.20010045735057,4.0670128119057,14.6675935612643,0.00552355998528102,0.0177484339565528
"ENSG00000105676","93436","ARMC6","armadillo repeat containing 6",-1.11999873461105,5.16040873004249,14.6624198772259,0.00552850606800982,0.0177598557997658
"ENSG00000121892","23244","PDS5A","PDS5 cohesin associated factor A",1.23360096993112,2.8630878804107,14.6625807049708,0.0055290481937322,0.0177598557997658
"ENSG00000173692","5707","PSMD1","proteasome 26S subunit, non-ATPase 1",-1.19118404032852,5.80889066507761,14.6560088470411,0.00553486156543355,0.0177692077869651
"ENSG00000269044",NA,NA,NA,-1.12329146392654,2.22854196290756,14.6522165051866,0.00553999005345583,0.0177825646133118
"ENSG00000243738","106480492","RN7SL181P","RNA, 7SL, cytoplasmic 181, pseudogene",-1.96191572622091,-1.51291986999967,14.1120180142534,0.00554702635881096,0.0177989299932502
"ENSG00000145423","6423","SFRP2","secreted frizzled related protein 2",-10.0988743127104,1.03750387145688,19.0787955153371,0.00555458259444458,0.0178200632657958
"ENSG00000177234","404216","LINC01561","long intergenic non-protein coding RNA 1561",-1.62720361369835,-0.386239477039132,14.7293273106321,0.00555673066391903,0.0178238418537092
"ENSG00000205364","4499","MT1M","metallothionein 1M",1.78973737618572,-0.111665092772782,14.6770737006782,0.0055738572271189,0.0178694166251613
"ENSG00000175606","54968","TMEM70","transmembrane protein 70",1.00682535807836,5.08271013210005,14.5801447933995,0.00561084279872255,0.0179660418707571
"ENSG00000276073",NA,NA,NA,-2.62834728325787,-0.748214218672129,14.3452365057441,0.00561528884932825,0.0179771446779644
"ENSG00000011143","54903","MKS1","MKS transition zone complex subunit 1",1.07114297377088,2.39411648065743,14.5713318547337,0.00562084277295757,0.0179917898134223
"ENSG00000251503","100526739","CENPS-CORT","CENPS-CORT readthrough",-1.65336363298234,-0.0374812197943056,14.6241527547547,0.00562833919131503,0.0180063725086132
"ENSG00000261737",NA,NA,NA,-2.53892301283967,-0.623400720756448,14.4715193456956,0.00563328625338086,0.0180190612005235
